id,label
8500010,Basel SBB
8500020,Muttenz
8500022,Frenkendorf-Füllinsdorf
8500023,Liestal
8500104,Court
8500028,Tecknau
8500105,Moutier
8500109,Delémont
8500115,Grellingen
8500116,Duggingen
8500118,Dornach-Arlesheim
8500026,Sissach
8500027,Gelterkinden
8500037,Trimbach
8500090,Basel Bad Bf
8500136,Basel Dreispitz
8500207,Solothurn
8500212,Oensingen
8500217,Olten Hammer
8500021,Pratteln
8500300,Kaiseraugst
8500218,Olten
8500309,Brugg AG
8500320,Stein-Säckingen
8500329,Koblenz
8501120,Lausanne
8501609,Brig
8502113,Aarau
8502115,Wildegg
8502119,Lenzburg
8502204,Zug
8502206,Baar
8502208,Horgen Oberdorf
8502209,Oberrieden Dorf
8502215,Muri AG
8502229,Urdorf Weihermatt
8500024,Lausen
8500025,Itingen
8501037,Morges
8502001,Zofingen
8502010,St. Erhard-Knutwil
8502103,Suhr
8502105,Othmarsingen
8502106,Mägenwil
8502112,Schönenwerd SO
8500031,Diepflingen
8500032,Sommerau
8500033,Rümlingen
8500034,Buckten
8500035,Läufelfingen
8500062,Bottmingen Schloss
8500254,Wiesenplatz
8500897,Barfüsserplatz
8500898,Claraplatz
8578143,Bahnhof SBB
8500065,"Ettingen, Bahnhof"
8500068,Flüh Bahnhof
8500070,Rodersdorf Station
8500679,"Mariastein, Klosterplatz"
8500073,Aeschenplatz
8500079,Heuwaage
8500146,Bahnhofeing. Gundeld.
8500160,IWB
8500189,Solothurnerstrasse
8500161,Tellplatz
8500193,Markthalle
8500236,Denkmal
8500237,Bankverein
8500256,Muttenz Dorf
8503000,Zürich HB
8503400,Bülach
8503423,Neuhausen
8500096,Dreispitz
8519559,Depot Allschwilerstrasse
8500994,Theater
8578145,Im Wasenboden
8500100,Tavannes
8500101,Reconvilier
8500102,Malleray-Bévilard
8500103,Sorvilier
8500205,Bellach
8500119,Münchenstein
8500113,Laufen
8500126,Porrentruy
8500144,Buix
8500114,Zwingen
8500117,Aesch BL
8500120,Courtételle
8500121,Courfaivre
8500122,Bassecourt
8500123,Glovelier
8500124,St-Ursanne
8500125,Courgenay
8500127,Courtemaîche
8500128,Boncourt
8500135,Pontenet
8500159,Grenchen Nord
8503016,Zürich Flughafen
8504221,Neuchâtel
8504229,Tüscherz
8504300,Biel/Bienne
8504303,La Heutte
8500141,Courchavon
8500143,Grandgourt
8500147,Heiliggeistkirche
8501007,Vernier
8501008,Genève
8501026,Genève-Aéroport
8501103,Vallorbe
8501118,Renens VD
8500899,Messeplatz
8519560,Depot Dreispitz
8519562,Depot Wiesenplatz
8500162,Tramelan-Dessous
8500167,Les Breuleux-Eglise
8500164,Tramelan-Chalet
8500165,Le Pied-d'Or
8500172,La Chaux-des-Breuleux
8500169,Muriaux
8500173,Les Breuleux
8500170,Tramelan
8500171,Les Reussilles
8500174,Le Noirmont
8500177,Les Bois
8500184,La Chaux-de-Fonds-Est
8500175,Le Creux-des-Biches
8500176,Le Boéchet
8500178,La Ferrière
8500179,La Cibourg
8500181,La Chaux-d'Abel
8500180,La Large-Journée
8500191,Saignelégier
8500199,Combe-Tabeillon
8504237,Les Hauts-Geneveys
8504250,"Les Hauts-Geneveys, gare"
8504310,St-Imier
8504312,Renan BE
8500186,Alle
