source,target,weight
8500010,8500010,1200.0
8500010,8500016,300.0
8500010,8500020,375.0
8500010,8500021,675.0
8500010,8500023,690.0
8500010,8500073,1200.0
8500010,8500079,1200.0
8500010,8500090,480.0
8500010,8500105,2820.0
8500010,8500109,2700.0
8500010,8500113,1770.0
8500010,8500117,780.0
8500010,8500136,240.0
8500010,8500146,1200.0
8500010,8500160,1200.0
8500010,8500161,1200.0
8500010,8500189,1200.0
8500010,8500193,1200.0
8500010,8500218,1650.0
8500010,8500236,1200.0
8500010,8500237,1200.0
8500010,8500301,840.0
8500010,8500897,1200.0
8500010,8500994,1200.0
8500010,8578143,1200.0
8500010,8588071,1200.0
8500010,8588487,1200.0
8500010,8589300,1200.0
8500010,8589313,1200.0
8500010,8589327,1200.0
8500010,8589333,1200.0
8500010,8589335,1200.0
8500010,8589336,1200.0
8500010,8589340,1200.0
8500010,8589345,1200.0
8500010,8589378,1200.0
8500016,8500016,1200.0
8500016,8578144,1200.0
8500016,8578145,1200.0
8500016,8578146,1200.0
8500016,8578168,1200.0
8500016,8588488,1200.0
8500016,8588777,1200.0
8500016,8588782,1200.0
8500016,8589303,1200.0
8500016,8589311,1200.0
8500016,8589348,1200.0
8500016,8589366,1200.0
8500016,8592322,1200.0
8500020,8500020,1200.0
8500020,8500021,210.0
8500020,8500023,420.0
8500020,8500256,1200.0
8500020,8517412,1200.0
8500020,8578193,1200.0
8500020,8578194,1200.0
8500021,8500021,1200.0
8500021,8500022,210.0
8500021,8500300,240.0
8500021,8500301,420.0
8500021,8517414,1200.0
8500021,8517415,1200.0
8500021,8578351,1200.0
8500021,8578352,1200.0
8500021,8578353,1200.0
8500021,8588163,1200.0
8500021,8588855,1200.0
8500021,8594994,1200.0
8500021,8595150,1200.0
8500021,8595153,1200.0
8500021,8595156,1200.0
8500021,8595701,1200.0
8500021,8595704,1200.0
8500021,8595705,1200.0
8500021,8595908,1200.0
8500022,8500022,1200.0
8500022,8500023,180.0
8500022,8505147,1200.0
8500022,8578317,1200.0
8500022,8588877,1200.0
8500022,8588878,1200.0
8500022,8589401,1200.0
8500022,8589402,1200.0
8500022,8589403,1200.0
8500022,8589406,1200.0
8500022,8589407,1200.0
8500022,8589423,1200.0
8500022,8594158,1200.0
8500022,8595444,1200.0
8500022,8595445,1200.0
8500023,8500023,1200.0
8500023,8500024,180.0
8500023,8500025,300.0
8500023,8500026,390.0
8500023,8500090,1830.0
8500023,8500218,1140.0
8500023,8503662,1200.0
8500023,8572212,1200.0
8500023,8572214,1200.0
8500023,8572215,1200.0
8500023,8572221,1200.0
8500023,8572229,1200.0
8500023,8578318,1200.0
8500023,8578320,1200.0
8500023,8589419,1200.0
8500023,8589425,1200.0
8500023,8594336,1200.0
8500024,8500024,1200.0
8500024,8500025,120.0
8500024,8504806,1200.0
8500024,8506067,1200.0
8500024,8589411,1200.0
8500024,8589412,1200.0
8500024,8589413,1200.0
8500024,8589414,1200.0
8500024,8589415,1200.0
8500024,8589416,1200.0
8500024,8589417,1200.0
8500024,8589418,1200.0
8500024,8594067,1200.0
8500025,8500025,1200.0
8500025,8500026,180.0
8500026,8500026,1200.0
8500026,8500027,210.0
8500026,8500028,420.0
8500026,8500031,240.0
8500026,8500218,900.0
8500026,8502113,1140.0
8500027,8500027,1200.0
8500027,8500028,180.0
8500027,8500218,720.0
8500027,8500996,1200.0
8500027,8572282,1200.0
8500027,8572283,1200.0
8500028,8500028,1200.0
8500028,8500109,1425.0
8500028,8500218,480.0
8500028,8572301,1200.0
8500028,8572302,1200.0
8500031,8500031,1200.0
8500031,8500032,120.0
8500032,8500032,1200.0
8500032,8500033,120.0
8500033,8500033,1200.0
8500033,8500034,120.0
8500034,8500034,1200.0
8500034,8500035,150.0
8500035,8500035,1200.0
8500035,8500037,420.0
8500037,8500037,1200.0
8500037,8500218,300.0
8500037,8500240,180.0
8500037,8577982,1200.0
8500037,8578049,1200.0
8500037,8578050,1200.0
8500037,8578052,1200.0
8500037,8578053,1200.0
8500037,8590290,1200.0
8500037,8594152,1200.0
8500037,8594311,1200.0
8500037,8595911,1200.0
8500062,8500062,1200.0
8500062,8500898,1320.0
8500062,8578152,300.0
8500062,8589394,1200.0
8500062,8589398,1200.0
8500065,8500065,1200.0
8500065,8500068,780.0
8500065,8579553,1200.0
8500065,8581449,1200.0
8500065,8582804,1200.0
