id,label,x_fa2,y_fa2,x_geo,y_geo,indegree,outdegree,degree,betweenness_centrality,transport_type,city,canton,is_bus_stop,is_tram_stop,is_train_stop,is_metro_stop,is_rack_railway_stop,is_boat_stop
8500010,Basel SBB,3224.670617812539,3971.9301481211146,8747.787053429234,1083.724166145778,0.0,179568.0,179568.0,0.0,Train,Basel,BS,False,False,True,False,False,False
8500016,Basel St. Johann,3197.9189064100087,3963.1472522026056,8740.453774416486,1098.214087303057,43662.0,43930.0,87592.0,0.0,Train,Basel,BS,False,False,True,False,False,False
8500020,Muttenz,3214.033084252181,3969.7592999349754,8772.829602971602,1075.0233758952213,20739.0,20603.0,41342.0,2740.819048,Train,Muttenz,BL,False,False,True,False,False,False
8500021,Pratteln,3198.389545359651,3981.6552330209447,8791.268212828052,1068.1573298887245,52469.0,52786.0,105255.0,9347.652381,Train,Pratteln,BL,False,False,True,False,False,False
8500023,Liestal,3280.207836034388,3979.718988459454,8808.76096074502,1044.0150585779138,10333.0,10333.0,20666.0,7780.25,Train,Liestal,BL,False,False,True,False,False,False
8500022,Frenkendorf-Füllinsdorf,3226.2802394635964,3981.8157136141167,8803.456156735021,1054.767115685183,19924.0,19924.0,39848.0,336.0,Train,Frenkendorf,BL,False,False,True,False,False,False
8500090,Basel Bad Bf,3305.47370278838,3932.349555626244,8755.205801894344,1096.345155278052,18562.0,36924.0,55486.0,11188.92619,Train,Basel,BS,False,False,True,False,False,False
8500105,Moutier,3128.964963949785,4006.86435237946,8658.215067352778,914.688381225666,28867.0,30874.0,59741.0,6410.55,Train,Moutier,BE,False,False,True,False,False,False
8500104,Court,2978.12700275355,4024.3378646215383,8641.400377091224,889.3153498008277,21351.0,21029.0,42380.0,3440.0,Train,Court,BE,False,False,True,False,False,False
8500109,Delémont,3193.713221570466,3982.5878556408734,8644.921718528582,966.2264610005736,20491.0,20805.0,41296.0,0.0,Train,Delémont,JU,False,False,True,False,False,False
8500028,Tecknau,3298.7382034399334,3990.410210782734,8876.002627900762,1019.8101096687031,21199.0,20610.0,41809.0,13222.0,Train,Tecknau,BL,False,False,True,False,False,False
8500113,Laufen,3221.147854037369,3970.79272727462,8710.562257943388,1002.53958232788,41199.0,50894.0,92093.0,6939.791667,Train,Laufen,BL,False,False,True,False,False,False
8500117,Aesch BL,3125.0888304986534,3954.994239358432,8753.684445642284,1033.2630014706444,29664.0,29666.0,59330.0,0.0,Train,Aesch (BL),BL,False,False,True,False,False,False
8500115,Grellingen,3126.2501997872755,3956.2303824514142,8748.955135944861,1016.4938949170177,9678.0,9488.0,19166.0,16233.0,Train,Grellingen,BL,False,False,True,False,False,False
8500116,Duggingen,3108.500889996996,3951.1291039690377,8753.872478437483,1024.2032395201632,35579.0,14212.0,49791.0,1854.703175,Train,Duggingen,BL,False,False,True,False,False,False
8500119,Münchenstein,3145.619022976448,3966.6223143253856,8759.861038066385,1062.1972600772758,21173.0,18959.0,40132.0,31042.625,Train,Münchenstein,BL,False,False,True,False,False,False
8500118,Dornach-Arlesheim,3127.305102632089,3961.847007980558,8757.114619663786,1046.4936726964415,44028.0,117800.0,161828.0,29843.916667,Train,Dornach,SO,False,False,True,False,False,False
8500218,Olten,3430.726137590047,3978.6189870537846,8884.988316325862,960.4259341668694,66116.0,80056.0,146172.0,13386.0,Train,Olten,SO,False,False,True,False,False,False
8500026,Sissach,3298.401623704376,4001.061475650942,8843.467256367901,1030.408321761719,19263.0,19053.0,38316.0,12976.0,Train,Sissach,BL,False,False,True,False,False,False
8500027,Gelterkinden,3349.5454741869635,4000.915767602235,8858.766288340883,1032.4709845454136,43883.0,43809.0,87692.0,11.166667,Train,Gelterkinden,BL,False,False,True,False,False,False
8500037,Trimbach,3410.8553081982286,4010.6373383284927,8883.4669600738,969.3603409205516,22711.0,22716.0,45427.0,0.0,Train,Trimbach,SO,False,False,True,False,False,False
8500136,Basel Dreispitz,3213.9219322436097,3952.594058808003,8756.390978300446,1077.422218524877,106061.0,170063.0,276124.0,125772.828968,Train,Basel,BS,False,False,True,False,False,False
8500207,Solothurn,3378.098785241304,3879.4029341006553,8727.9638384445,866.255691553282,64975.0,93825.0,158800.0,9853.22381,Train,Solothurn,SO,False,False,True,False,False,False
8500212,Oensingen,3556.452595360354,3805.6445957476935,8799.963305115118,917.6399263139364,32719.0,31488.0,64207.0,11100.090476,Train,Oensingen,SO,False,False,True,False,False,False
8500217,Olten Hammer,3481.6621312135144,3940.213625309963,8880.703447780728,958.2550100768484,0.0,40790.0,40790.0,0.0,Train,Olten,SO,False,False,True,False,False,False
8500301,Rheinfelden,3213.474981426942,4008.069258374015,8834.680996664982,1086.407906949977,119396.0,135509.0,254905.0,171283.691655,Train,Rheinfelden,AG,False,False,True,False,False,False
8500300,Kaiseraugst,3194.8808382787734,3999.60895057406,8805.530215445697,1078.2370273040713,50350.0,22374.0,72724.0,122986.867216,Train,Kaiseraugst,AG,False,False,True,False,False,False
8503000,Zürich HB,3402.439903727263,3982.6923697660286,9157.054677087865,979.7705202183688,123173.0,170630.0,293803.0,55857.51158,Train,Zürich,ZH,False,False,True,False,False,False
