id,label,x_fa2,y_fa2,x_geo,y_geo
8500010,Basel SBB,-1670.1129150390625,-969.2677612304688,2611363.0,1266310.0
8500016,Basel St. Johann,-1695.2030029296875,-977.505126953125,2610076.0,1268853.0
8500020,Muttenz,-1680.0897216796875,-971.3037719726562,2615758.0,1264783.0
8500021,Pratteln,-1694.7615966796875,-960.146728515625,2618994.0,1263578.0
8500023,Liestal,-1618.0252685546875,-961.9627075195312,2622064.0,1259341.0
8500022,Frenkendorf-Füllinsdorf,-1668.603271484375,-959.9962158203124,2621133.0,1261228.0
8500090,Basel Bad Bf,-1594.3287353515625,-1006.389892578125,2612665.0,1268525.0
8500105,Moutier,-1759.8740234375,-936.50341796875,2595643.0,1236644.0
8500104,Court,-1901.343017578125,-920.115234375,2592692.0,1232191.0
8500109,Delémont,-1699.1474609375,-959.2720336914062,2593310.0,1245689.0
8500028,Tecknau,-1600.6458740234375,-951.935546875,2633865.0,1255093.0
8500113,Laufen,-1673.4168701171875,-970.3345336914062,2604830.0,1252062.0
8500117,Aesch BL,-1763.5093994140625,-985.1517333984376,2612398.0,1257454.0
8500115,Grellingen,-1762.420166015625,-983.9923706054688,2611568.0,1254511.0
8500116,Duggingen,-1779.0670166015625,-988.7767944335938,2612431.0,1255864.0
8500119,Münchenstein,-1744.25439453125,-974.2459106445312,2613482.0,1262532.0
8500118,Dornach-Arlesheim,-1761.4307861328125,-978.724609375,2613000.0,1259776.0
8500218,Olten,-1476.8560791015625,-962.994384765625,2635442.0,1244671.0
8500026,Sissach,-1600.9615478515625,-941.9458618164062,2628155.0,1256953.0
8500027,Gelterkinden,-1552.994384765625,-942.08251953125,2630840.0,1257315.0
8500037,Trimbach,-1495.49267578125,-932.9647827148438,2635175.0,1246239.0
8500136,Basel Dreispitz,-1680.1939697265625,-987.40283203125,2612873.0,1265204.0
8500207,Solothurn,-1526.214599609375,-1056.0478515625,2607884.0,1228144.0
8500212,Oensingen,-1358.9388427734375,-1125.224853515625,2620520.0,1237162.0
8500217,Olten Hammer,-1429.0838623046875,-999.0142822265624,2634690.0,1244290.0
8500301,Rheinfelden,-1680.6131591796875,-935.3733520507812,2626613.0,1266781.0
8500300,Kaiseraugst,-1698.0523681640625,-943.3081665039062,2621497.0,1265347.0
8503000,Zürich HB,-1503.3853759765625,-959.1740112304688,2683190.0,1248066.0
8500309,Brugg AG,-1582.2330322265625,-910.59912109375,2658054.0,1259184.0
8500320,Stein-Säckingen,-1620.15234375,-920.2083740234376,2638414.0,1265778.0
8500329,Koblenz,-1713.400634765625,-1153.9132080078125,2659293.0,1272481.0
8501120,Lausanne,-1318.1209716796875,-821.1754150390625,2537875.0,1152042.0
8501609,Brig,-746.2569580078125,-373.8487854003906,2642319.0,1129928.0
8502113,Aarau,-1596.4537353515625,-812.7282104492188,2646256.0,1249128.0
8502115,Wildegg,-1614.0274658203125,-936.541015625,2654668.0,1251859.0
8502119,Lenzburg,-1581.754150390625,-798.1912841796875,2655249.0,1249188.0
8502204,Zug,-1580.6937255859375,-819.3265380859375,2681601.0,1225309.0
8502206,Baar,-1456.642822265625,-878.2130126953125,2682191.0,1227725.0
8502208,Horgen Oberdorf,-1499.7294921875,-931.332763671875,2687130.0,1234843.0
8502209,Oberrieden Dorf,-1501.63232421875,-935.1605834960938,2686180.0,1236829.0
8502215,Muri AG,-1784.7691650390625,-786.1987915039062,2668187.0,1236588.0
8502229,Urdorf Weihermatt,-1719.17822265625,-887.7601928710938,2674889.0,1248266.0
8500024,Lausen,-1627.00830078125,-956.9487915039062,2624211.0,1257779.0
8500025,Itingen,-1617.5343017578125,-949.9315795898438,2626282.0,1257447.0
8500031,Diepflingen,-1568.5916748046875,-901.1361083984376,2630099.0,1255495.0
8501037,Morges,-1303.3963623046875,-931.66552734375,2527498.0,1151526.0
8502001,Zofingen,-1473.5584716796875,-844.6759643554688,2638164.0,1237585.0
8502010,St. Erhard-Knutwil,-1495.49951171875,-763.0030517578125,2648206.0,1225654.0
8502103,Suhr,-1593.1229248046875,-776.0970458984375,2648615.0,1246954.0
8502105,Othmarsingen,-1592.960693359375,-864.7185668945312,2658584.0,1251025.0
8502106,Mägenwil,-1616.524169921875,-815.977783203125,2660112.0,1251827.0
8502112,Schönenwerd SO,-1601.24755859375,-827.6539916992188,2642412.0,1246883.0
8500032,Sommerau,-1564.92578125,-893.28271484375,2631143.0,1254329.0
8500033,Rümlingen,-1536.3028564453125,-878.1701049804688,2631080.0,1252812.0
8500034,Buckten,-1519.5794677734375,-884.8888549804688,2630883.0,1250989.0
8500035,Läufelfingen,-1494.6890869140625,-895.0780029296875,2631529.0,1249118.0
8500240,Olten RB,-1458.0684814453125,-907.2303466796876,2636001.0,1245850.0
8500062,Bottmingen Schloss,2303.860595703125,-1649.6917724609375,2610016.0,1263735.0
8500898,Claraplatz,2295.88720703125,-1616.333251953125,2611662.0,1267907.0
8500254,Wiesenplatz,2377.6328125,-1575.35400390625,2611494.0,1269566.0
8500897,Barfüsserplatz,2355.906494140625,-1544.8043212890625,2611323.0,1267108.0
8578152,Kronenplatz,2296.767578125,-1673.5284423828125,2610020.0,1265266.0
8578143,Bahnhof SBB,2325.91259765625,-1599.7889404296875,2611418.0,1266407.0
8500065,"Ettingen, Bahnhof",32.189170837402344,-3379.3984375,2608094.0,1259229.0
8500068,Flüh Bahnhof,48.20513916015625,-3387.849365234375,2604563.0,1259812.0
8500070,Rodersdorf Station,118.31148529052734,-3403.5869140625,2601541.0,1258915.0
8500255,"Aesch BL, Dorf",-6.543673515319824,-3378.580322265625,2611933.0,1257656.0
8500679,"Mariastein, Klosterplatz",152.57708740234375,-3433.720458984375,2603930.0,1258412.0
8500697,"Hofstetten SO, Mariasteinstr.",-8.309972763061523,-3372.299072265625,2605735.0,1258208.0
8500695,"Metzerlen, Challstrasse",188.5892333984375,-3433.83837890625,2601938.0,1257090.0
8500073,Aeschenplatz,2403.314697265625,-1468.885986328125,2611760.0,1266743.0
8500079,Heuwaage,2382.122314453125,-1514.1748046875,2611248.0,1266739.0
