Id,Label,timeset,pageranks,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
8500010,Basel SBB,,0.000011,9,0,13,13,0,179568,179568,28,0.095904,0.132625,0,0,0
8500020,Muttenz,,0.000012,9,1,2,3,43662,43930,87592,30,0.084055,0.105995,0,0,0
8500022,Frenkendorf-Füllinsdorf,,0.000016,9,1,1,2,20739,20603,41342,30,0.083899,0.105156,2740.819048,0,0
8500023,Liestal,,0.00003,9,3,5,8,52469,52786,105255,29,0.091555,0.122041,9347.652381,0,0
8500104,Court,,0.000029,11,1,1,2,10333,10333,20666,31,0.077704,0.093437,7780.25,0,0
8500028,Tecknau,,0.000025,9,2,3,5,19924,19924,39848,29,0.091481,0.121256,336,0,0
8500105,Moutier,,0.000036,9,2,3,5,18562,36924,55486,30,0.084225,0.105574,11188.92619,0,0
8500109,Delémont,,0.000029,9,3,3,6,28867,30874,59741,30,0.08396,0.105532,6410.55,0,0
8500115,Grellingen,,0.00003,9,1,2,3,21351,21029,42380,33,0.067052,0.076965,3440,0,0
8500116,Duggingen,,0.000024,9,1,1,2,20491,20805,41296,33,0.067033,0.076684,0,0,0
8500118,Dornach-Arlesheim,,0.000049,9,1,1,2,21199,20610,41809,31,0.077362,0.092955,13222,0,0
8500026,Sissach,,0.000041,9,2,5,7,41199,50894,92093,29,0.09176,0.122676,6939.791667,0,0
8500027,Gelterkinden,,0.000018,9,1,2,3,29664,29666,59330,29,0.091399,0.12085,0,0,0
8500037,Trimbach,,0.000048,9,1,2,3,9678,9488,19166,29,0.091185,0.120466,16233,0,0
8500090,Basel Bad Bf,,0.000017,9,2,3,5,35579,14212,49791,28,0.095235,0.129171,1854.703175,0,0
8500136,Basel Dreispitz,,0.000043,9,2,1,3,21173,18959,40132,29,0.091159,0.120195,31042.625,0,0
8500207,Solothurn,,0.000067,9,2,14,16,44028,117800,161828,29,0.096434,0.134711,29843.916667,0,0
8500212,Oensingen,,0.00005,9,2,6,8,66116,80056,146172,29,0.09277,0.124505,13386,0,0
8500217,Olten Hammer,,0.000044,9,1,1,2,19263,19053,38316,29,0.091159,0.120195,12976,0,0
8500021,Pratteln,,0.000017,9,2,3,5,43883,43809,87692,31,0.077602,0.094398,11.166667,0,0
8500300,Kaiseraugst,,0.000016,9,1,1,2,22711,22716,45427,31,0.072669,0.086024,0,0,0
8500218,Olten,,0.000149,9,11,15,26,106061,170063,276124,28,0.100272,0.145296,125772.828968,0,0
8500309,Brugg AG,,0.000038,9,2,7,9,64975,93825,158800,28,0.092712,0.126956,9853.22381,0,0
8500320,Stein-Säckingen,,0.000059,9,3,3,6,32719,31488,64207,28,0.090546,0.121744,11100.090476,0,0
