stop_id,stop_name,stop_lon,stop_lat
8500010,Basel SBB,2611363.0,1266310.0
8508319,Horw,2666022.0,1207746.0
8502273,Bremgarten,2668595.0,1244915.0
8502274,Zufikon,2669212.0,1245040.0
8502275,Widen Heinrüti,2669215.0,1246079.0
8502276,Berikon-Widen,2670083.0,1246089.0
8502277,Rudolfstetten,2671218.0,1246974.0
8502278,Reppischhof,2672305.0,1248571.0
8502306,Hünenberg Chämleten,2676670.0,1224738.0
8508399,Engelberg,2673590.0,1185826.0
8508396,Grafenort,2671191.0,1191476.0
8508394,Wolfenschiessen,2672846.0,1195634.0
8508392,Dallenwil,2672595.0,1198517.0
8508391,Stans,2670630.0,1201230.0
8508390,Stansstad,2668328.0,1203191.0
8508384,Niederrickenbach Station,2672905.0,1197892.0
8508318,Hergiswil NW,2666307.0,1203874.0
8508268,Zollbrück,2623030.0,1202783.0
8508314,Sarnen,2661639.0,1194039.0
8508313,Sachseln,2660966.0,1191403.0
8508312,Giswil,2657039.0,1187537.0
8508311,Kaiserstuhl OW,2656238.0,1185065.0
8508310,Lungern,2655354.0,1181942.0
8508309,Brünig-Hasliberg,2653481.0,1178747.0
8508308,Meiringen,2656996.0,1175396.0
8508305,Brienz,2645866.0,1178359.0
8508297,Menznau,2645734.0,1214888.0
8508295,Willisau,2642349.0,1219232.0
8508294,Gettnau,2640319.0,1221149.0
8508293,Zell LU,2637002.0,1220756.0
8508272,Sumiswald-Grünen,2622694.0,1208310.0
8508271,Grünenmatt,2621693.0,1206411.0
8502272,Bremgarten West,2667894.0,1244259.0
8502271,Wohlen Oberdorf,2664097.0,1244346.0
8502270,Bergfrieden,2672497.0,1250070.0
8502269,Erdmannlistein,2666039.0,1244647.0
8502185,Bremgarten Isenlauf,2668227.0,1244304.0
8502186,Dietikon Stoffelbach,2672502.0,1249610.0
8502187,Rudolfstetten Hofacker,2670879.0,1246404.0
8502188,Zufikon Hammergut,2669201.0,1245415.0
8509006,Chur Wiesental,2759564.0,1192214.0
8509002,Landquart,2760969.0,1203988.0
8509000,Chur,2759398.0,1191228.0
8502200,Ebikon,2668625.0,1215201.0
8502201,Gisikon-Root,2672556.0,1219368.0
8502202,Rotkreuz,2675237.0,1221674.0
8502203,Cham,2677233.0,1225755.0
8502204,Zug,2681601.0,1225309.0
8502206,Baar,2682191.0,1227725.0
8502208,Horgen Oberdorf,2687130.0,1234843.0
8502209,Oberrieden Dorf,2686180.0,1236829.0
8502211,Hendschiken,2658044.0,1249018.0
8502212,Dottikon-Dintikon,2660125.0,1247283.0
8502213,Wohlen AG,2662804.0,1244511.0
8502214,Boswil-Bünzen,2666295.0,1239737.0
8502215,Muri AG,2668187.0,1236588.0
8502216,Benzenschwil,2670178.0,1233296.0
8502217,Mühlau,2671941.0,1230890.0
8502218,Sins,2672696.0,1226818.0
8502219,Oberrüti,2673253.0,1224335.0
8502230,Zug Chollermüli,2679438.0,1226006.0
8502237,Lupfig,2658557.0,1255222.0
8502247,Birr,2658769.0,1254186.0
8502248,Bremgarten Obertor,2668389.0,1244807.0
8502268,Zufikon Belvédère,2669553.0,1245611.0
8508269,Neumühle,2623648.0,1201666.0
8508267,Ramsei,2620635.0,1205126.0
8509051,Haldenstein,2759643.0,1193890.0
8503055,Uitikon Waldegg,2677597.0,1246628.0
8503006,Zürich Oerlikon,2683434.0,1251778.0
8503007,Zürich Seebach,2683462.0,1252581.0
8503008,Zürich Affoltern,2680736.0,1252784.0
8503009,Zürich Wollishofen,2682738.0,1244642.0
8503010,Zürich Enge,2682502.0,1246491.0
8503011,Zürich Wiedikon,2681937.0,1247304.0
8503015,Zürich Wipkingen,2682349.0,1249707.0
8503016,Zürich Flughafen,2684750.0,1256117.0
8503020,Zürich Hardbrücke,2681436.0,1248822.0
8508100,Langenthal,2626216.0,1229654.0
8503051,Zürich Binz,2681558.0,1246329.0
8503052,Zürich Friesenberg,2680740.0,1246545.0
8503053,Zürich Schweighof,2680440.0,1246556.0
8503054,Zürich Triemli,2679824.0,1246553.0
8503056,Ringlikon,2678475.0,1246014.0
8508266,Lützelflüh-Goldbach,2618529.0,1206025.0
8508089,Biberist Ost,2609669.0,1225524.0
8508088,Gerlafingen,2609603.0,1224408.0
8508087,Wiler,2608896.0,1222376.0
8508086,Utzenstorf,2608725.0,1219846.0
8508085,Aefligen,2609158.0,1216073.0
8508084,Kirchberg-Alchenflüh,2610816.0,1214664.0
8508083,Burgdorf Buchmatt,2612887.0,1212729.0
8508081,Burgdorf Steinhof,2613746.0,1211146.0
8508080,Oberburg,2614494.0,1209859.0
8503087,Zürich Saalsporthalle,2681843.0,1245781.0
8503088,Zürich HB SZU,2683126.0,1247978.0
8503089,Wildpark-Höfli,2682972.0,1238986.0
8503090,Zürich Selnau,2682558.0,1247397.0
8503091,Zürich Giesshübel,2681839.0,1246316.0
8503004,Zürich Tiefenbrunnen,2684833.0,1244970.0
8503003,Zürich Stadelhofen,2683833.0,1246789.0
8503001,Zürich Altstetten,2679300.0,1249492.0
8503000,Zürich HB,2683190.0,1248066.0
8508265,Hasle-Rüegsau,2616476.0,1207269.0
8508264,Schafhausen i.E.,2616592.0,1204846.0
8508263,Bigenthal,2614060.0,1201608.0
8508262,Walkringen,2613723.0,1199621.0
8508261,Biglen,2614324.0,1197075.0
8508260,Grosshöchstetten,2614955.0,1194855.0
8508255,Oberdiessbach,2613668.0,1187584.0
8508253,Heimberg,2612789.0,1182203.0
8508252,Lädeli,2613013.0,1181174.0
8508251,Steffisburg,2613483.0,1180218.0
8508219,Littau,2662188.0,1211661.0
8508218,Malters,2656494.0,1209995.0
8508217,Schachen LU,2653553.0,1209900.0
8508216,Werthenstein,2650389.0,1211990.0
8508215,Wolhusen,2648711.0,1211805.0
8508213,Entlebuch,2647444.0,1204925.0
8508211,Schüpfheim,2643888.0,1200112.0
8508210,Escholzmatt,2637916.0,1196147.0
8508208,Trubschachen,2631039.0,1196814.0
8508207,Langnau i.E.,2626312.0,1198741.0
8508202,Konolfingen,2613929.0,1192192.0
8508187,Huttwil,2630659.0,1218245.0
8508186,Rohrbach,2628436.0,1220766.0
8508185,Kleindietwil,2626725.0,1221763.0
8508184,Lindenholz,2626683.0,1222681.0
8508183,Madiswil,2627080.0,1224071.0
8508182,Lotzwil,2626523.0,1226564.0
8508181,Langenthal Süd,2625879.0,1228323.0
8508174,Gutenburg,2626883.0,1225709.0
